lad24cd,la_name,imd_average_rank,imd_rank_of_average_rank,imd_average_score,imd_rank_of_average_score,imd_proportion_most_deprived_10pct,imd_rank_of_proportion,imd_extent,imd_rank_of_extent,imd_local_concentration,imd_rank_of_local_concentration,source
E06000001,Hartlepool,23075.98,30,37.58,6,0.4211,3,0.5259,8,33623.27,3,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000002,Middlesbrough,23840.54,21,40.037,2,0.5,1,0.5657,3,33672.1,2,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000003,Redcar and Cleveland,20592.69,62,30.336,37,0.25,25,0.3665,44,33529.27,7,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000004,Stockton-on-Tees,17658.71,119,25.83,69,0.1935,41,0.3182,59,33332.64,17,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000005,Darlington,18611.35,103,25.713,72,0.197,40,0.2814,69,33117.99,30,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000006,Halton,20886.57,55,31.117,31,0.3125,16,0.429,27,33327.38,18,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000007,Warrington,13072.02,199,16.835,174,0.0606,114,0.1561,121,30722.59,114,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000008,Blackburn with Darwen,24567.65,11,36.899,10,0.3736,9,0.5702,2,33262.48,24,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000009,Blackpool,26536.86,1,43.467,1,0.4043,6,0.5217,9,33748.14,1,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000010,"Kingston upon Hull, City of",24324.73,14,37.206,8,0.4167,4,0.52,11,33340.11,16,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000011,East Riding of Yorkshire,12648.72,203,15.755,189,0.061,113,0.0982,155,30438.49,120,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000012,North East Lincolnshire,19754.27,81,30.213,39,0.271,21,0.3698,38,33609.96,4,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000013,North Lincolnshire,18590.12,104,23.473,99,0.1165,77,0.2107,98,32214.66,63,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000014,York,9512.5,261,11.814,251,0,193,0.0682,179,27798.04,176,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000015,Derby,19898.13,79,28.155,52,0.1842,46,0.3611,45,33110.37,32,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000016,Leicester,25204.55,6,34.449,16,0.2,38,0.495,16,32821.38,43,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000017,Rutland,8552.38,272,9.851,276,0,193,0,282,15058.78,294,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000018,Nottingham,24079.07,18,33.747,20,0.3073,18,0.5039,15,32737.58,46,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000019,"Herefordshire, County of",16764.48,136,18.762,152,0.0085,185,0.0714,178,28211.49,167,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000020,Telford and Wrekin,19007.58,95,24.423,84,0.1304,66,0.252,80,32109.44,66,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000021,Stoke-on-Trent,23586.1,26,33.614,21,0.2883,19,0.4945,17,32889.75,39,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000022,Bath and North East Somerset,10247.52,252,12.281,245,0.0254,151,0.0384,214,26239.75,209,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000023,"Bristol, City of",17434.22,123,22.496,110,0.1119,84,0.213,97,32343.28,62,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000024,North Somerset,12208.97,215,15.456,192,0.0652,111,0.0956,158,30756.72,113,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000025,South Gloucestershire,10114.56,253,11.614,254,0,193,0.0102,258,22743.04,253,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000026,Plymouth,18688.94,101,24.087,87,0.1159,80,0.257,74,31881.1,77,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000027,Torbay,21271.67,50,26.917,60,0.1099,87,0.2552,76,32441.4,58,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000030,Swindon,14096.54,180,17.554,167,0.0714,109,0.1328,132,31025.9,110,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000031,Peterborough,21226.31,51,27.799,54,0.1322,65,0.3665,43,31817.21,80,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000032,Luton,22777.92,33,29.548,45,0.136,60,0.3669,41,32093.18,67,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000033,Southend-on-Sea,18080.37,113,24.027,89,0.1111,85,0.2645,71,32512.81,55,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000034,Thurrock,17963.05,114,21.032,122,0.03,145,0.1391,129,29766.73,139,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000035,Medway,19136.32,91,24.354,85,0.0888,97,0.2531,78,31939.66,75,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000036,Bracknell Forest,8640.96,271,10.084,271,0,193,0,282,20769.77,273,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000037,West Berkshire,9686.36,257,11.049,261,0,193,0.0092,262,20782.11,272,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000038,Reading,16030.61,147,18.558,155,0,193,0.1039,150,28786.82,161,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000039,Slough,20246.11,72,22.967,105,0,193,0.122,140,27966.25,171,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000040,Windsor and Maidenhead,7338.72,285,8.881,285,0,193,0,282,20386.36,275,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000041,Wokingham,4328.48,295,6.102,295,0,193,0.0042,271,16487.21,292,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000042,Milton Keynes,15478.75,157,18.503,156,0.0482,125,0.1202,143,30250.04,126,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000043,Brighton and Hove,16380.88,143,20.266,133,0.0788,103,0.1528,124,31382.57,99,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000044,Portsmouth,20239.91,73,26.378,64,0.12,72,0.2533,77,32824.24,41,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000045,Southampton,20194.24,76,25.611,73,0.1184,73,0.2391,83,32164.22,64,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000046,Isle of Wight,20855.08,56,24.599,83,0.0337,139,0.2006,106,30108.81,130,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000047,County Durham,21488.54,47,28.808,49,0.1697,53,0.3602,46,32636.06,49,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000049,Cheshire East,11388.25,231,14.169,212,0.0246,153,0.0952,159,29412.3,145,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000050,Cheshire West and Chester,13879.12,186,17.736,163,0.0856,98,0.1467,127,31296.82,105,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000051,Shropshire,15695.07,154,17.604,166,0.0101,184,0.0533,189,27206.63,186,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000052,Cornwall,19456.45,86,22.321,112,0.0327,141,0.1171,146,29429.71,144,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000053,Isles of Scilly,11924,221,12.65,240,0,193,0,282,11924.0,296,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000054,Wiltshire,11989.35,219,13.608,225,0.0065,189,0.0287,226,25105.87,229,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000055,Bedford,16413.2,141,19.747,138,0.0427,131,0.1528,123,30589.04,115,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000056,Central Bedfordshire,11409.7,230,13.102,232,0,193,0.0267,228,25196.55,226,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000057,Northumberland,17154.36,128,21.963,115,0.11,86,0.2014,105,32003.41,73,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000058,"Bournemouth, Christchurch and Poole",14728.21,169,17.513,169,0.05,124,0.1039,151,29777.21,137,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000059,Dorset,14451.08,174,16.268,180,0.0224,156,0.0404,210,26390.71,204,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000060,Buckinghamshire,10315.59,250,11.921,250,0,193,0.0209,240,24636.59,237,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000061,North Northamptonshire,15417.41,160,18.472,157,0.0439,127,0.1289,135,29819.72,136,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000062,West Northamptonshire,13988.3,182,16.646,177,0.021,158,0.1016,153,29073.38,151,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000063,Cumberland,18871.62,98,23.807,95,0.1017,91,0.2327,87,31894.38,76,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000064,Westmorland and Furness,14870.31,165,17.836,161,0.0634,112,0.0904,162,30499.01,118,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000065,North Yorkshire,13523.03,189,15.799,188,0.0264,148,0.0647,180,28429.79,165,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E06000066,Somerset,16776.04,134,19.137,143,0.0206,159,0.089,165,29008.44,153,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000008,Cambridge,9840.08,255,11.471,257,0,193,0.0206,241,24135.24,244,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000009,East Cambridgeshire,10996.11,242,12.217,247,0,193,0.0021,278,21150.79,270,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000010,Fenland,21985.08,42,26.1,66,0.0893,95,0.2073,101,30784.03,112,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000011,Huntingdonshire,10441.25,249,11.804,252,0,193,0.006,269,22026.99,259,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000012,South Cambridgeshire,7928.12,281,9.338,283,0,193,0,282,17551.73,289,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000032,Amber Valley,15416.02,161,18.593,154,0.038,135,0.1228,139,30405.82,122,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000033,Bolsover,21151.94,52,25.728,71,0.06,115,0.2223,94,31299.08,103,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000034,Chesterfield,19824.62,80,25.388,77,0.1159,78,0.2817,68,31778.3,86,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000035,Derbyshire Dales,12267.26,213,13.761,222,0.0233,155,0.0214,239,23485.22,248,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000036,Erewash,16252.29,144,20.726,127,0.0822,101,0.1855,109,31740.47,88,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000037,High Peak,14857.49,167,17.642,164,0.0508,121,0.098,156,29548.06,143,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000038,North East Derbyshire,15478.53,158,18.689,153,0.0469,126,0.1298,134,30107.33,131,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000039,South Derbyshire,12308.24,210,14.369,211,0.0161,175,0.0537,188,27111.72,188,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000040,East Devon,13234.3,195,14.548,205,0,193,0.014,250,23889.57,246,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000041,Exeter,13807.01,187,15.946,185,0,193,0.063,182,27435.59,183,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000042,Mid Devon,17272.33,126,18.984,150,0,193,0.0441,205,26211.59,211,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000043,North Devon,18856.77,99,22.002,114,0.0508,121,0.1254,138,30392.95,123,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000044,South Hams,14013.15,181,15.115,199,0,193,0.0065,266,21909.2,260,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000045,Teignbridge,15446.44,159,17.18,172,0,193,0.0508,193,26856.76,193,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000046,Torridge,20911.35,54,23.865,94,0,193,0.1027,152,28846.98,160,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000047,West Devon,17675.39,117,19.096,146,0,193,0.0123,253,24159.14,243,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000061,Eastbourne,18944.08,96,23.904,93,0.1333,63,0.2178,96,31798.17,83,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000062,Hastings,25467.53,3,37.255,7,0.3396,14,0.4812,20,33482.06,10,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000063,Lewes,14661.52,170,16.774,175,0,193,0.0723,176,27591.54,181,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000064,Rother,19086.86,93,22.519,109,0.0517,120,0.1523,125,30458.89,119,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000065,Wealden,11185.6,238,12.655,239,0,193,0.0244,233,23215.31,250,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000066,Basildon,17615.34,120,22.599,106,0.0804,102,0.2521,79,31244.65,107,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000067,Braintree,15016,164,16.638,178,0,193,0.0338,221,25833.56,219,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000068,Brentwood,9499.77,262,10.942,264,0,193,0.0076,264,22941.52,251,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000069,Castle Point,15200.88,162,17.64,165,0.0175,166,0.0868,166,28921.57,155,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000070,Chelmsford,11282.76,233,13.122,230,0,193,0.0449,204,26617.32,201,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000071,Colchester,14827.59,168,17.339,171,0.0171,173,0.0864,167,29097.83,150,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
E07000072,Epping Forest,12591.81,205,14.101,215,0,193,0.0137,251,24174.84,242,"MHCLG English Indices of Deprivation 2025, File 10 LA District Summaries (lower-tier) v2, published 30 October 2025"
