pfa_name_safelives,financial_year,marac_count,cases_discussed,recommended_cases,cases_per_10k_adult_females,repeat_cases,repeat_cases_pct,children_in_household,housing_referrals,source
Avon and Somerset,2018-19,7.0,1711.0,2680.0,25.47639822394811,394.0,23.0,2034.0,35.0,SafeLives MARAC annual data 2018-19 England and Wales
Avon and Somerset,2019-20,7.0,1352.0,2680.0,20.13097042593679,256.0,18.93491124260355,1456.0,95.5,SafeLives MARAC annual data 2019-20 England and Wales
Avon and Somerset,2020-21,7.0,1296.0,2680.0,19.297143248531125,363.0,28.009259259259263,1298.0,19.5,SafeLives MARAC annual data 2020-21 England and Wales
Avon and Somerset,2021-22,7.0,1550.0,2680.0,23.07914508890682,401.0,25.870967741935484,1601.0,28.0,SafeLives MARAC annual data 2021-22 England and Wales
Avon and Somerset,2022-23,5.0,1910.0,2690.0,28.439462657943245,549.0,28.743455497382197,1918.0,29.0,SafeLives MARAC annual data 2022-23 England and Wales
Avon and Somerset,2023-24,5.0,1703.0,2950.0,23.02359411417972,428.0,25.132119788608335,1678.0,46.0,SafeLives MARAC annual data 2023-24 England and Wales
Avon and Somerset,2024-25,5.0,1972.0,2950.0,26.660321546190495,457.0,23.17444219066937,1739.0,41.0,SafeLives MARAC annual data 2024-25 England and Wales
Bedfordshire,2018-19,3.0,1086.0,990.0,43.92564189681114,375.0,35.0,1746.0,13.0,SafeLives MARAC annual data 2018-19 England and Wales
Bedfordshire,2019-20,3.0,1230.0,990.0,49.75003640246566,430.0,34.959349593495936,2107.0,26.0,SafeLives MARAC annual data 2019-20 England and Wales
Bedfordshire,2020-21,3.0,1167.0,990.0,47.20186380624181,346.0,29.648671808054843,1846.0,29.0,SafeLives MARAC annual data 2020-21 England and Wales
Bedfordshire,2021-22,3.0,1124.0,990.0,45.46263489135886,348.0,30.96085409252669,1709.0,44.0,SafeLives MARAC annual data 2021-22 England and Wales
Bedfordshire,2022-23,3.0,979.0,990.0,39.597793201637295,285.0,29.111338100102145,1614.0,31.0,SafeLives MARAC annual data 2022-23 England and Wales
Bedfordshire,2023-24,3.0,1194.0,1130.0,42.054099746407445,315.0,26.38190954773869,1699.0,42.0,SafeLives MARAC annual data 2023-24 England and Wales
Bedfordshire,2024-25,3.0,1407.0,1130.0,49.556213017751475,435.0,30.916844349680172,1800.0,27.0,SafeLives MARAC annual data 2024-25 England and Wales
Cambridgeshire,2018-19,1.0,1547.0,1310.0,47.06046981376587,763.0,49.0,1924.0,23.0,SafeLives MARAC annual data 2018-19 England and Wales
Cambridgeshire,2019-20,1.0,1450.0,1310.0,44.10968405298029,657.0,45.310344827586206,1894.0,16.0,SafeLives MARAC annual data 2019-20 England and Wales
Cambridgeshire,2020-21,1.0,1135.0,1310.0,34.527235448367335,452.0,39.82378854625551,1353.0,10.0,SafeLives MARAC annual data 2020-21 England and Wales
Cambridgeshire,2021-22,1.0,1074.0,1310.0,32.67158667096609,356.0,33.14711359404097,1198.0,18.0,SafeLives MARAC annual data 2021-22 England and Wales
Cambridgeshire,2022-23,1.0,1077.0,1310.0,32.76284808624812,357.0,33.147632311977716,1047.0,24.0,SafeLives MARAC annual data 2022-23 England and Wales
Cambridgeshire,2023-24,1.0,929.0,1480.0,25.03186240828611,333.0,35.84499461786868,1113.0,24.0,SafeLives MARAC annual data 2023-24 England and Wales
Cambridgeshire,2024-25,1.0,1159.0,1480.0,31.22920186351303,442.0,38.13632441760138,1405.0,19.0,SafeLives MARAC annual data 2024-25 England and Wales
Cheshire,2018-19,4.0,1772.0,1730.0,40.96683582055046,426.0,24.0,2367.0,19.0,SafeLives MARAC annual data 2018-19 England and Wales
Cheshire,2019-20,4.0,1872.0,1730.0,43.278734004554444,555.0,29.647435897435898,2499.0,26.0,SafeLives MARAC annual data 2019-20 England and Wales
Cheshire,2020-21,4.0,1728.0,1730.0,39.949600619588715,528.0,30.555555555555557,2263.0,20.0,SafeLives MARAC annual data 2020-21 England and Wales
Cheshire,2021-22,4.0,1815.0,1730.0,41.96095203967218,469.0,25.840220385674932,2365.0,12.0,SafeLives MARAC annual data 2021-22 England and Wales
Cheshire,2022-23,4.0,1732.0,1730.0,40.04207654694887,490.0,28.290993071593533,2171.0,17.0,SafeLives MARAC annual data 2022-23 England and Wales
Cheshire,2023-24,4.0,2190.0,1850.0,47.1974621127222,573.0,26.164383561643834,2311.0,18.0,SafeLives MARAC annual data 2023-24 England and Wales
Cheshire,2024-25,4.0,3009.0,1850.0,64.84801986172653,908.0,30.176138251910935,3493.0,32.0,SafeLives MARAC annual data 2024-25 England and Wales
City of London,2018-19,1.0,6.0,10.0,20.229265003371545,0.0,0.0,2.0,0.0,SafeLives MARAC annual data 2018-19 England and Wales
City of London,2019-20,1.0,7.0,10.0,23.600809170600137,4.0,57.14285714285714,1.0,0.0,SafeLives MARAC annual data 2019-20 England and Wales
City of London,2020-21,1.0,13.0,10.0,43.830074173971674,6.0,46.15384615384615,6.0,0.0,SafeLives MARAC annual data 2020-21 England and Wales
City of London,2021-22,1.0,18.0,10.0,60.687795010114634,7.0,38.88888888888889,6.0,2.0,SafeLives MARAC annual data 2021-22 England and Wales
City of London,2022-23,1.0,6.0,10.0,20.229265003371545,2.0,33.33333333333333,0.0,2.0,SafeLives MARAC annual data 2022-23 England and Wales
City of London,2023-24,1.0,12.0,10.0,33.52891869237217,7.0,58.333333333333336,5.0,2.0,SafeLives MARAC annual data 2023-24 England and Wales
City of London,2024-25,1.0,10.0,10.0,27.94076557697681,4.0,40.0,5.0,0.0,SafeLives MARAC annual data 2024-25 England and Wales
Cleveland,2018-19,4.0,825.0,930.0,35.44179812351789,228.0,28.0,890.0,2.0,SafeLives MARAC annual data 2018-19 England and Wales
Cleveland,2019-20,4.0,794.0,930.0,34.11004570917964,224.0,28.211586901763226,644.0,12.0,SafeLives MARAC annual data 2019-20 England and Wales
Cleveland,2020-21,4.0,755.0,930.0,32.43461525243152,210.0,27.81456953642384,564.0,14.0,SafeLives MARAC annual data 2020-21 England and Wales
Cleveland,2021-22,4.0,809.0,930.0,34.75444203869815,245.0,30.284301606922128,526.0,10.0,SafeLives MARAC annual data 2021-22 England and Wales
Cleveland,2022-23,4.0,767.0,930.0,32.95013231604633,252.0,32.85528031290743,470.0,6.0,SafeLives MARAC annual data 2022-23 England and Wales
Cleveland,2023-24,4.0,999.0,940.0,42.10712659956502,330.0,33.033033033033036,669.0,12.0,SafeLives MARAC annual data 2023-24 England and Wales
Cleveland,2024-25,4.0,1159.0,940.0,48.85101073963549,471.0,40.63848144952546,674.0,14.0,SafeLives MARAC annual data 2024-25 England and Wales
Cumbria,2018-19,3.0,781.0,850.0,36.64120704862349,171.0,22.0,746.0,33.0,SafeLives MARAC annual data 2018-19 England and Wales
Cumbria,2019-20,3.0,808.0,850.0,37.9079325163736,213.0,26.361386138613863,692.0,38.0,SafeLives MARAC annual data 2019-20 England and Wales
Cumbria,2020-21,3.0,761.0,850.0,35.70289188732712,210.0,27.595269382391592,730.0,33.0,SafeLives MARAC annual data 2020-21 England and Wales
Cumbria,2021-22,3.0,788.0,850.0,36.969617355077226,251.0,31.85279187817259,821.0,19.5,SafeLives MARAC annual data 2021-22 England and Wales
Cumbria,2022-23,3.0,1008.0,850.0,47.29108412933736,330.0,32.73809523809524,940.0,45.5,SafeLives MARAC annual data 2022-23 England and Wales
Cumbria,2023-24,3.0,1166.0,860.0,54.29164765372545,391.0,33.533447684391085,1211.0,44.5,SafeLives MARAC annual data 2023-24 England and Wales
Cumbria,2024-25,3.0,1236.0,860.0,57.551009005149794,421.0,34.06148867313916,1395.0,30.83,SafeLives MARAC annual data 2024-25 England and Wales
Derbyshire,2018-19,2.0,1212.0,1780.0,27.192935221582037,324.0,27.0,1315.0,48.0,SafeLives MARAC annual data 2018-19 England and Wales
Derbyshire,2019-20,2.0,1569.0,1780.0,35.202735447741105,461.0,29.381771829190566,1649.0,52.0,SafeLives MARAC annual data 2019-20 England and Wales
Derbyshire,2020-21,2.0,1599.0,1780.0,35.875827903720854,565.0,35.33458411507192,1570.0,54.0,SafeLives MARAC annual data 2020-21 England and Wales
Derbyshire,2021-22,2.0,1544.0,1780.0,34.64182506775797,576.0,37.30569948186528,1464.0,38.0,SafeLives MARAC annual data 2021-22 England and Wales
Derbyshire,2022-23,2.0,1520.0,1780.0,34.10335110297417,608.0,40.0,1464.0,23.0,SafeLives MARAC annual data 2022-23 England and Wales
Derbyshire,2023-24,2.0,1921.0,1780.0,43.16921839219943,746.0,38.833940655908386,1836.0,36.0,SafeLives MARAC annual data 2023-24 England and Wales
Derbyshire,2024-25,2.0,2432.0,1780.0,54.65254509621499,986.0,40.54276315789473,2184.0,36.0,SafeLives MARAC annual data 2024-25 England and Wales
Devon & Cornwall,2018-19,12.0,2420.0,2890.0,33.572689033661476,842.0,35.0,3001.0,9.0,SafeLives MARAC annual data 2018-19 England and Wales
Devon & Cornwall,2019-20,12.0,2522.0,2890.0,34.98773625739431,880.0,34.89294210943695,3043.0,14.0,SafeLives MARAC annual data 2019-20 England and Wales
Devon & Cornwall,2020-21,12.0,2452.0,2890.0,34.01662541757766,1014.0,41.35399673735726,2881.0,27.0,SafeLives MARAC annual data 2020-21 England and Wales
Devon & Cornwall,2021-22,12.0,2366.0,2890.0,32.82354638580291,948.0,40.0676246830093,2703.0,21.0,SafeLives MARAC annual data 2021-22 England and Wales
Devon & Cornwall,2022-23,12.0,2020.0,2890.0,28.02348423470917,778.0,38.51485148514852,2321.0,26.0,SafeLives MARAC annual data 2022-23 England and Wales
Devon & Cornwall,2023-24,12.0,2024.0,3130.0,26.031819526436962,792.0,39.130434782608695,2127.0,21.5,SafeLives MARAC annual data 2023-24 England and Wales
Devon & Cornwall,2024-25,12.0,2101.0,3130.0,27.022160486681845,746.0,35.506901475487865,2272.0,24.5,SafeLives MARAC annual data 2024-25 England and Wales
Dorset,2018-19,3.0,917.0,1280.0,28.641123906436913,121.0,13.0,1430.0,15.0,SafeLives MARAC annual data 2018-19 England and Wales
Dorset,2019-20,3.0,1176.0,1280.0,36.73060165100306,354.0,30.102040816326532,1581.0,29.0,SafeLives MARAC annual data 2019-20 England and Wales
Dorset,2020-21,2.0,1392.0,1280.0,43.4770386889424,350.0,25.143678160919542,1695.0,18.0,SafeLives MARAC annual data 2020-21 England and Wales
Dorset,2021-22,2.0,1365.0,1280.0,42.63373405919998,284.0,20.805860805860807,1813.0,22.0,SafeLives MARAC annual data 2021-22 England and Wales
Dorset,2022-23,2.0,1314.0,1280.0,41.04082531413098,327.0,24.885844748858446,1845.0,10.0,SafeLives MARAC annual data 2022-23 England and Wales
Dorset,2023-24,2.0,1268.0,1360.0,37.29905428659676,252.0,19.873817034700316,1957.0,18.0,SafeLives MARAC annual data 2023-24 England and Wales
Dorset,2024-25,2.0,1310.0,1360.0,38.53451192069539,211.0,16.106870229007633,2094.0,38.0,SafeLives MARAC annual data 2024-25 England and Wales
Durham,2018-19,2.0,659.0,1040.0,25.43733691540445,82.0,12.0,1048.0,6.0,SafeLives MARAC annual data 2018-19 England and Wales
Durham,2019-20,2.0,727.0,1040.0,28.062130405916594,111.0,15.268225584594223,1252.0,5.0,SafeLives MARAC annual data 2019-20 England and Wales
Durham,2020-21,2.0,751.0,1040.0,28.98852810845029,127.0,16.910785619174433,1396.0,1.0,SafeLives MARAC annual data 2020-21 England and Wales
Durham,2021-22,2.0,630.0,1040.0,24.317939691509565,104.0,16.507936507936506,1173.0,2.0,SafeLives MARAC annual data 2021-22 England and Wales
Durham,2022-23,2.0,718.0,1040.0,27.71473126746646,107.0,14.902506963788301,1411.0,16.0,SafeLives MARAC annual data 2022-23 England and Wales
Durham,2023-24,2.0,1021.0,1080.0,37.90733679610605,171.0,16.748285994123407,2001.0,9.0,SafeLives MARAC annual data 2023-24 England and Wales
Durham,2024-25,2.0,1280.0,1080.0,47.52339970520641,245.0,19.140625,2488.0,8.0,SafeLives MARAC annual data 2024-25 England and Wales
Essex,2018-19,9.0,2714.0,2890.0,37.56006288611855,496.0,18.0,3813.0,61.0,SafeLives MARAC annual data 2018-19 England and Wales
Essex,2019-20,9.0,2430.0,2890.0,33.62968047651735,434.0,17.86008230452675,3922.0,75.5,SafeLives MARAC annual data 2019-20 England and Wales
Essex,2020-21,9.0,2113.0,2890.0,29.242598702420228,468.0,22.14860388073829,3551.0,45.0,SafeLives MARAC annual data 2020-21 England and Wales
Essex,2021-22,6.0,2839.0,2880.0,39.289984721330356,585.0,20.60584712927087,4891.0,31.0,SafeLives MARAC annual data 2021-22 England and Wales
Essex,2022-23,6.0,2288.0,2880.0,31.664489271716747,511.0,22.333916083916083,3614.0,40.0,SafeLives MARAC annual data 2022-23 England and Wales
Essex,2023-24,6.0,2161.0,3110.0,27.650253087462318,465.0,21.51781582600648,3725.0,37.0,SafeLives MARAC annual data 2023-24 England and Wales
Essex,2024-25,6.0,2172.0,3110.0,27.79099940118841,473.0,21.777163904235728,3725.0,41.0,SafeLives MARAC annual data 2024-25 England and Wales
Gloucestershire,2018-19,4.0,83.0,1010.0,3.291143255931988,24.0,29.0,72.0,0.0,SafeLives MARAC annual data 2018-19 England and Wales
Gloucestershire,2019-20,1.0,119.0,1010.0,4.718627077782007,19.0,15.966386554621847,98.0,2.0,SafeLives MARAC annual data 2019-20 England and Wales
Gloucestershire,2020-21,1.0,32.0,1010.0,1.268874508311128,18.0,56.25,10.0,0.0,SafeLives MARAC annual data 2020-21 England and Wales
Gloucestershire,2021-22,1.0,141.0,1010.0,5.590978302245908,89.0,63.12056737588653,47.0,4.3,SafeLives MARAC annual data 2021-22 England and Wales
Gloucestershire,2022-23,1.0,271.0,1010.0,10.745780992259865,143.0,52.767527675276746,148.0,7.0,SafeLives MARAC annual data 2022-23 England and Wales
Gloucestershire,2023-24,1.0,398.0,1100.0,14.494442583069908,197.0,49.497487437185924,264.0,4.5,SafeLives MARAC annual data 2023-24 England and Wales
Gloucestershire,2024-25,1.0,426.0,1100.0,15.514152111527087,221.0,51.87793427230047,288.0,13.5,SafeLives MARAC annual data 2024-25 England and Wales
Greater Manchester,2018-19,11.0,5661.0,3860.0,58.613679320739834,1926.0,34.0,6713.0,270.0,SafeLives MARAC annual data 2018-19 England and Wales
Greater Manchester,2019-20,11.0,6880.0,3860.0,71.23513755991698,2460.0,35.75581395348838,7748.0,349.5,SafeLives MARAC annual data 2019-20 England and Wales
Greater Manchester,2020-21,12.0,10710.0,4380.0,97.67259253246976,4474.5,41.77871148459384,12132.0,210.5,SafeLives MARAC annual data 2020-21 England and Wales
Greater Manchester,2021-22,12.0,11782.0,4380.0,107.44897154225572,5169.5,43.876251909692755,13237.0,222.0,SafeLives MARAC annual data 2021-22 England and Wales
Greater Manchester,2022-23,12.0,11049.0,4380.0,100.76418999918377,4597.0,41.60557516517332,13271.0,290.5,SafeLives MARAC annual data 2022-23 England and Wales
Greater Manchester,2023-24,12.0,11515.0,4700.0,98.43815450900604,4732.0,41.09422492401216,14392.0,328.5,SafeLives MARAC annual data 2023-24 England and Wales
Greater Manchester,2024-25,12.0,11487.0,4700.0,98.19879121536714,4517.0,39.32271263167058,13871.0,226.8,SafeLives MARAC annual data 2024-25 England and Wales
Hampshire,2018-19,12.0,2225.0,3180.0,28.028459278742712,418.0,19.0,3294.0,19.5,SafeLives MARAC annual data 2018-19 England and Wales
Hampshire,2019-20,12.0,2592.0,3180.0,32.65158042719151,464.0,17.901234567901234,3803.0,27.0,SafeLives MARAC annual data 2019-20 England and Wales
Hampshire,2020-21,12.0,3356.0,3180.0,42.275734534589006,784.0,23.361144219308702,5167.0,24.5,SafeLives MARAC annual data 2020-21 England and Wales
Hampshire,2021-22,12.0,3287.0,3180.0,41.40653737043924,732.0,22.269546699117736,5264.0,8.0,SafeLives MARAC annual data 2021-22 England and Wales
Hampshire,2022-23,12.0,3723.0,3180.0,46.8988556830378,847.0,22.750470051034114,5894.0,12.5,SafeLives MARAC annual data 2022-23 England and Wales
Hampshire,2023-24,12.0,4541.0,3410.0,53.697068596497445,1222.0,26.910372164721423,7452.0,28.0,SafeLives MARAC annual data 2023-24 England and Wales
Hampshire,2024-25,12.0,4577.0,3410.0,54.122766563789654,1155.0,25.234870002184838,6067.0,35.33,SafeLives MARAC annual data 2024-25 England and Wales
Hertfordshire,2018-19,5.0,1343.0,1840.0,29.21718396818525,387.0,29.0,1918.0,29.0,SafeLives MARAC annual data 2018-19 England and Wales
Hertfordshire,2019-20,5.0,1275.0,1840.0,27.737832881188528,426.0,33.411764705882355,1482.0,40.0,SafeLives MARAC annual data 2019-20 England and Wales
Hertfordshire,2020-21,5.0,1180.0,1840.0,25.67109239200193,374.0,31.694915254237287,1330.0,9.0,SafeLives MARAC annual data 2020-21 England and Wales
Hertfordshire,2021-22,5.0,1451.0,1840.0,31.56674157694475,509.0,35.079255685733976,1652.0,9.0,SafeLives MARAC annual data 2021-22 England and Wales
Hertfordshire,2022-23,5.0,1235.0,1840.0,26.867626359425753,446.0,36.11336032388664,1334.0,15.0,SafeLives MARAC annual data 2022-23 England and Wales
Hertfordshire,2023-24,5.0,1281.0,1990.0,25.81349798086456,397.0,30.991412958626075,1385.0,7.0,SafeLives MARAC annual data 2023-24 England and Wales
Hertfordshire,2024-25,5.0,1480.0,1990.0,29.82355738616671,462.0,31.216216216216214,1720.0,21.0,SafeLives MARAC annual data 2024-25 England and Wales
Humberside,2018-19,4.0,2033.0,1540.0,52.94932699920823,962.0,47.0,2293.0,12.5,SafeLives MARAC annual data 2018-19 England and Wales
Humberside,2019-20,4.0,2247.0,1540.0,58.52294036754594,1008.0,44.85981308411215,2431.0,10.0,SafeLives MARAC annual data 2019-20 England and Wales
Humberside,2020-21,4.0,2965.0,1540.0,77.22319456598741,1320.0,44.51939291736931,3082.0,6.0,SafeLives MARAC annual data 2020-21 England and Wales
Humberside,2021-22,4.0,3291.0,1540.0,85.71383922990374,1538.0,46.73351564873898,3176.0,10.0,SafeLives MARAC annual data 2021-22 England and Wales
Humberside,2022-23,4.0,3239.0,1540.0,84.35950327124225,1448.0,44.70515591231862,3203.0,17.0,SafeLives MARAC annual data 2022-23 England and Wales
Humberside,2023-24,4.0,4098.0,1560.0,104.27560515729128,1844.0,44.9975597852611,4163.0,29.5,SafeLives MARAC annual data 2023-24 England and Wales
Humberside,2024-25,4.0,4566.0,1560.0,116.18409300834357,2390.0,52.343407796758655,4035.0,35.5,SafeLives MARAC annual data 2024-25 England and Wales
Kent,2018-19,13.0,2368.0,2880.0,33.02944753785554,755.0,32.0,3189.0,42.0,SafeLives MARAC annual data 2018-19 England and Wales
Kent,2019-20,13.0,2419.0,2880.0,33.74080810560496,675.0,27.90409260024804,3229.0,46.5,SafeLives MARAC annual data 2019-20 England and Wales
Kent,2020-21,13.0,2755.0,2880.0,38.427418904895276,865.0,31.397459165154263,3567.0,59.0,SafeLives MARAC annual data 2020-21 England and Wales
Kent,2021-22,13.0,2689.0,2880.0,37.50683464074896,851.0,31.64745258460394,3418.0,67.5,SafeLives MARAC annual data 2021-22 England and Wales
Kent,2022-23,13.0,2763.0,2880.0,38.53900487630695,1056.0,38.219326818675356,3652.0,119.0,SafeLives MARAC annual data 2022-23 England and Wales
Kent,2023-24,13.0,2905.0,3100.0,37.392825468826224,1016.0,34.97418244406197,3717.0,162.5,SafeLives MARAC annual data 2023-24 England and Wales
Kent,2024-25,6.0,2816.0,3100.0,36.24722771780194,855.0,30.36221590909091,3279.0,174.82999999999998,SafeLives MARAC annual data 2024-25 England and Wales
Lancashire,2018-19,10.0,3776.0,2440.0,62.007764107751626,1018.0,27.0,5055.0,15.0,SafeLives MARAC annual data 2018-19 England and Wales
Lancashire,2019-20,10.0,3045.0,2440.0,50.00361274049357,616.0,20.229885057471265,3274.0,32.5,SafeLives MARAC annual data 2019-20 England and Wales
Lancashire,2020-21,10.0,2484.0,2440.0,40.79112448190018,294.0,11.83574879227053,3758.0,24.0,SafeLives MARAC annual data 2020-21 England and Wales
Lancashire,2021-22,10.0,2816.0,2440.0,46.243078317645285,503.0,17.86221590909091,4445.0,23.0,SafeLives MARAC annual data 2021-22 England and Wales
Lancashire,2022-23,9.0,2740.0,2200.0,49.896746513601414,525.0,19.16058394160584,4100.0,13.0,SafeLives MARAC annual data 2022-23 England and Wales
Lancashire,2023-24,2.0,819.0,480.0,68.27218846124991,171.0,20.87912087912088,1133.0,0.0,SafeLives MARAC annual data 2023-24 England and Wales
